,word,x,y,z
698,Petunia,10.1419257567,-0.410106901691,-0.647083947294
699,George,11.2498940193,-3.52355297035,8.61348987522
705,Slowly,4.16507169984,2.4413287235,8.70249531678
708,Red,-7.23932708148,-3.52405207358,11.4693078487
709,Head,3.72247521227,-7.93901996438,12.8898283952
714,HUFFLEPUFF,-7.9218308807,-4.93384778859,10.7417137782
717,Me,-7.363029239,-3.77358257526,11.0343998494
718,Brilliant,-7.60055903151,-3.84374933863,11.7019128714
722,Mr,3.38053234716,-10.1391632969,3.70656748674
726,My,11.1064809356,5.77857635956,-3.09598846504
732,Bludger,5.42473206535,12.5267685278,-3.87746374606
733,Hagrid,1.95933593381,-5.58535069858,-1.52474228706
734,Dean,-5.48978262969,13.1109012572,9.14147376248
740,Percy,-7.96111938463,11.9801136286,9.5882410397
741,Griphook,10.4759102483,9.70050606799,8.84082137511
760,Hello,-6.25794448508,-3.56934291912,12.1013437521
771,Elixir,3.03967360804,7.67645163864,14.2315400759
789,Out,5.6536047863,-2.85194492857,3.01305594292
819,Hooch,1.74373120161,7.02122767825,-1.88657143535
834,Use,-13.5706503138,1.20063477882,5.65740678488
843,Pucey,-9.25071163735,-6.5145499449,-12.1929902142
853,Snare,-4.09685274325,-7.12830676793,-9.32432054735
888,Don,1.59094851134,-0.00899173541632,-8.46113603807
897,Welcome,10.2759671547,-9.78120109548,2.12361038347
904,Stone,6.45236221348,-1.85051711556,-12.0612176668
908,Magical,2.62172860811,5.73714606803,2.57158761972
916,Sickles,5.62256055293,4.70962993913,10.7958658612
924,Brazil,1.6395582695,9.36835784816,7.72954523009
929,Black,7.95206692559,6.76355846499,7.26546828751
940,Monday,-4.59651660509,-4.56974158101,13.1634927708
950,Muggles,13.0150039333,-1.84465201997,8.75249781398
955,Ridgeback,1.89884221068,10.6987476072,9.36139177311
957,Everyone,13.0715013243,-19.798615139,8.19746112597
960,History,-0.00991094287534,5.71428450003,6.69069762193
962,Seven,5.32311805424,8.87218457377,8.40385702258
965,Diagon,13.8511427766,14.6468543182,4.62555221362
971,Dursleys,-11.3591743727,5.24554508189,-3.01954709956
984,Do,7.9398755088,-7.01964241398,-9.10867103633
991,Famous,-8.19014475083,8.57505690526,3.2740513684
993,Half,10.8187055474,-11.2259813589,1.87167697152
996,Hall,5.95268846485,15.2327959585,-4.75407946999
1001,Apothecary,3.61901002122,-6.13548635104,10.7412384551
1003,Didn,-6.6612398624,-12.097855785,-13.7239278983
1016,Blimey,-3.48621930104,-8.71103443642,8.06875462709
1041,H,-6.11091876353,12.3469679505,6.16843490456
1051,Alley,13.7868316307,15.3780460309,4.14470370353
1058,Knuts,-10.4765539121,3.26198767892,2.82223408404
